,Location
1605,Parklands
1606,Fourways Junction Estate
1607,miotoni road
1608,Rosslyn
1609,Kilimani
1610,Industrial Area
1611,Spring Valley
1613,Kilimani
1614,Bomas of Kenya
1615,Lower Kabete
1616,Mbaazi road
1617,Karen
1618,General Mathenge
1619,Kiambu Road
1620,Vihiga Road
1621,Kilimani
1622,Riverside
1623,Industrial Area
1624,Karen
1625,Riverside
1626,Kiambu road
1627,hurlingham
1628,Parklands
1629,Mpaka rd
1630,Westlands Area
1631,Upper Hill
1632,Mugoiri Road
1633,Kitisuru
1634,Westlands Area
1635,Brookside
1636,Lavington green
1637,Runda
1638,Runda
1639,Karen
1640,Parklands
1641,Spring Valley
1642,Embakasi
1643,Kilimani
1644,Riverside drive
1645,Runda
1646,Kileleshwa
1648,Mombasa Road
1649,lavington
1650,Daggorett road
1651,Lavington
1652,nyari
1653,Riverside
1654,Kileleshwa
1655,Kileleshwa
1656,Naivasha Road
1658,Westlands Area
1659,kilimani
1660,Rosslyn
1661,Kitale Lane
1662,Kitisuru road
1663,Off Ruaka Rd
1664,Ndege road
1665,Kileleshwa
1666,Kiambu Road
1667,Lower Kabete
1668,Riverside
1669,Lavington
1670,Kileleshwa
1671,Housing Estate Next Tousiu
1672,Kileleshwa
1673,Waiyaki Way
1674,State house
1675,City Park-Parklands
1676,Nyari
1677,Ruaraka
1678,Runda Mimosa
1679,Waiyaki Way
1680,Muthaiga North
1681,Thika Road
1682,Church road
1683,Riverside
1684,Waiyaki Way
1685,Karen area
1686,Kilimani
1687,Westlands Area
1688,Lavington
1689,Kilimani
1690,Muthaiga
1691,WINDY RIDGE
1692,Rosslyn
1695,1 Mombasa Rd
1696,Yaya Centre
